2 0.00 0
2 1.00 7.95883e-05
2 2.00 0.00029244
2 3.00 0.000666969
2 4.00 0.00117964
2 5.00 0.00183461
2 6.00 0.00263727
2 7.00 0.00359421
2 8.00 0.00468559
2 9.00 0.00591982
2 10.00 0.00730633
2 11.00 0.00882709
2 12.00 0.0104928
2 13.00 0.0123009
2 14.00 0.0142482
2 15.00 0.0163322
2 16.00 0.0185657
2 17.00 0.0209146
2 18.00 0.0234069
2 19.00 0.0260228
2 20.00 0.0287743
2 21.00 0.0316564
2 22.00 0.0346635
2 23.00 0.0377864
2 24.00 0.0410365
2 25.00 0.044403
2 26.00 0.0478723
2 27.00 0.0514738
2 28.00 0.0551689
2 29.00 0.0589852
2 30.00 0.0628777
2 31.00 0.0668961
2 32.00 0.0709881
2 33.00 0.0751802
2 34.00 0.0794672
2 35.00 0.0838161
2 36.00 0.0882453
2 37.00 0.0927483
2 38.00 0.0973433
2 39.00 0.101955
2 40.00 0.106668
2 41.00 0.111394
2 42.00 0.116193
2 43.00 0.121052
2 44.00 0.125939
2 45.00 0.130839
2 46.00 0.135776
2 47.00 0.140763
2 48.00 0.145743
2 49.00 0.150738
2 50.00 0.155773
2 51.00 0.160827
2 52.00 0.16581
2 53.00 0.170821
2 54.00 0.17591
2 55.00 0.180921
2 56.00 0.185962
2 57.00 0.190943
2 58.00 0.195917
2 59.00 0.200951
2 60.00 0.205934
2 61.00 0.210835
2 62.00 0.215881
2 63.00 0.220801
2 64.00 0.22573
2 65.00 0.230626
2 66.00 0.235601
2 67.00 0.240415
2 68.00 0.245466
2 69.00 0.250299
2 70.00 0.255229
2 71.00 0.260068
2 72.00 0.265021
2 73.00 0.269934
2 74.00 0.274949
2 75.00 0.279846
2 76.00 0.28494
2 77.00 0.289952
2 78.00 0.294961
2 79.00 0.299865
2 80.00 0.304989
2 81.00 0.310085
2 82.00 0.314941
2 83.00 0.320021
2 84.00 0.325135
2 85.00 0.330165
2 86.00 0.335357
2 87.00 0.340203
2 88.00 0.345466
2 89.00 0.350095
2 90.00 0.355103
2 91.00 0.359946
2 92.00 0.364936
2 93.00 0.369573
2 94.00 0.374077
2 95.00 0.378656
2 96.00 0.382904
2 97.00 0.387485
2 98.00 0.391269
2 99.00 0.395349
2 100.00 0.399132
2 101.00 0.40258
2 102.00 0.405837
2 103.00 0.408879
2 104.00 0.411202
2 105.00 0.413523
2 106.00 0.415747
2 107.00 0.41765
2 108.00 0.419203
2 109.00 0.419839
2 110.00 0.420822
2 111.00 0.420582
2 112.00 0.420902
2 113.00 0.420163
2 114.00 0.418895
2 115.00 0.416717
2 116.00 0.414815
2 117.00 0.412319
2 118.00 0.408829
2 119.00 0.405599
2 120.00 0.401059
2 121.00 0.3961
2 122.00 0.390444
2 123.00 0.384615
2 124.00 0.378074
2 125.00 0.371083
2 126.00 0.363374
2 127.00 0.355474
2 128.00 0.346863
2 129.00 0.338553
2 130.00 0.328819
2 131.00 0.318907
2 132.00 0.309105
2 133.00 0.298151
2 134.00 0.287374
2 135.00 0.27648
2 136.00 0.265051
2 137.00 0.254118
2 138.00 0.242138
