1.0 0.00 3.17874 1 0 0
1.0 1.00 3.17794 1 -0.000110134 3.14669e-06
1.0 2.00 3.17556 1 -0.000437718 6.2981e-06
1.0 3.00 3.17159 1 -0.000983734 1.5765e-05
1.0 4.00 3.16605 0.999997 -0.00175297 2.84266e-05
1.0 5.00 3.15893 0.999997 -0.00273827 4.43188e-05
1.0 6.00 3.15026 0.99999 -0.00394571 6.34868e-05
1.0 7.00 3.14004 0.999987 -0.00537254 8.59862e-05
1.0 8.00 3.12830 0.999978 -0.00702298 0.000111882
1.0 9.00 3.11506 0.999958 -0.00889228 0.000141249
1.0 10.00 3.10033 0.999939 -0.0109892 0.000174175
1.0 11.00 3.08414 0.999909 -0.0133068 0.000210756
1.0 12.00 3.06652 0.99987 -0.0158518 0.000247838
1.0 13.00 3.04749 0.999823 -0.0186219 0.000292044
1.0 14.00 3.02709 0.999759 -0.0216214 0.000336957
1.0 15.00 3.00535 0.999681 -0.0248523 0.000382651
1.0 16.00 2.98230 0.999588 -0.0283104 0.000432552
1.0 17.00 2.95798 0.999473 -0.0320016 0.000483438
1.0 18.00 2.93244 0.999335 -0.0359291 0.0005388
1.0 19.00 2.90570 0.999174 -0.0400936 0.000595381
1.0 20.00 2.87782 0.998978 -0.0444955 0.000653272
1.0 21.00 2.84883 0.998754 -0.049136 0.000716083
1.0 22.00 2.81878 0.998496 -0.0540198 0.000776932
1.0 23.00 2.78772 0.998196 -0.0591451 0.000839396
1.0 24.00 2.75569 0.997852 -0.064521 0.000903585
1.0 25.00 2.72274 0.997462 -0.0701426 0.000969611
1.0 26.00 2.68892 0.997017 -0.0760194 0.00103387
1.0 27.00 2.65428 0.996515 -0.0821466 0.00110011
1.0 28.00 2.61887 0.995949 -0.0885305 0.00116462
1.0 29.00 2.58274 0.995315 -0.0951741 0.00123125
1.0 30.00 2.54595 0.994607 -0.10208 0.00129225
1.0 31.00 2.50853 0.993821 -0.109247 0.00135538
1.0 32.00 2.47055 0.992945 -0.116678 0.00141669
1.0 33.00 2.43206 0.991978 -0.124384 0.00147611
1.0 34.00 2.39310 0.990911 -0.132356 0.00153358
1.0 35.00 2.35374 0.989731 -0.140606 0.00158896
1.0 36.00 2.31401 0.988436 -0.149131 0.00163785
1.0 37.00 2.27397 0.987023 -0.157935 0.00168428
1.0 38.00 2.23368 0.985468 -0.16702 0.00172361
1.0 39.00 2.19318 0.983768 -0.176388 0.00176
1.0 40.00 2.15251 0.981923 -0.186043 0.00179326
1.0 41.00 2.11173 0.979917 -0.195981 0.00181368
1.0 42.00 2.07089 0.977729 -0.206216 0.00183013
1.0 43.00 2.03003 0.97536 -0.216736 0.00184234
1.0 44.00 1.98920 0.972793 -0.227549 0.00183994
